Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,2,1,1,4,0,0,0,1,1,0,0,0,6,0,1,0,Matches
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,9,0,0,25,66,20,29,22,21,2,0,0,160,24,67,26.4,Matches
133,Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,1993,5.9,1,0,0,8,11,7,6,0,1,3,0,0,18,2,11,15.4,Matches
134,Miguel Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,0,0,0,2,1,0,0,2,1,0,0,0,2,2,0,100,Matches
135,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,eng Premier League,27,1992,8.3,2,0,0,11,10,4,17,2,9,0,0,0,50,7,12,36.8,Matches
136,Youcef Attal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,1996,11.1,5,0,0,15,25,4,30,20,17,1,1,0,70,14,9,60.9,Matches
137,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,3,1,0,14,20,20,86,11,24,0,0,0,125,37,59,38.5,Matches
138,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36,1,0,0,0,5,0,0,0,0,0,0,1,140,0,0,,Matches
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,2,0,0,7,4,1,80,14,13,0,0,0,119,15,5,75,Matches
140,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3,0,0,0,2,7,4,0,2,0,1,0,0,11,0,8,0,Matches
141,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25,1994,10.3,2,0,0,18,12,1,56,13,18,0,0,0,85,21,15,58.3,Matches
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30,4,1,1,40,22,6,134,43,55,0,2,1,320,67,67,50,Matches
143,Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,1991,13.6,3,0,0,13,6,0,71,9,11,0,0,0,90,5,15,25,Matches
144,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,6,0,0,46,43,24,22,4,16,1,0,0,88,47,82,36.4,Matches
145,Javier Avilés,es ESP,"MF,FW",Leganés,es La Liga,21,1997,2,1,0,0,5,2,2,17,3,3,0,0,0,16,2,5,28.6,Matches
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,10,0,0,22,14,2,8,28,26,0,0,0,185,49,48,50.5,Matches
147,Taiwo Awoniyi,ng NGA,FW,Mainz 05,de Bundesliga,21,1997,5.4,1,0,0,5,3,3,9,2,2,0,1,0,27,12,24,33.3,Matches
148,Florian Ayé,fr FRA,"FW,MF",Brescia,it Serie A,22,1997,15.3,4,1,1,19,22,5,7,4,13,1,0,0,69,48,62,43.6,Matches
149,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,27,1991,35,6,0,0,59,105,9,25,13,29,0,0,0,212,59,175,25.2,Matches
150,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,10,0,0,36,21,3,23,45,33,0,1,0,283,43,53,44.8,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
151,Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,3,0,0,29,19,1,8,21,14,0,0,0,128,19,28,40.4,Matches
152,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,1,0,0,41,15,3,118,66,61,0,0,0,380,94,60,61,Matches
153,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,1,0,0,10,15,1,25,17,21,0,1,0,112,21,13,61.8,Matches
154,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,6,0,0,41,59,1,2,41,45,0,3,1,404,70,76,47.9,Matches
155,Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,4,0,0,35,32,7,2,3,9,3,0,0,64,26,63,29.2,Matches
156,Carlos Bacca,co COL,"FW,MF",Villarreal,es La Liga,32,1986,7.6,1,0,0,8,6,7,3,0,1,1,0,0,26,7,12,36.8,Matches
157,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,3,1,1,17,19,0,4,42,26,0,0,0,178,11,15,42.3,Matches
158,Matthias Bader,de GER,DF,Köln,de Bundesliga,22,1997,0.1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,Matches
159,Bastian Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50,Matches
